input,question,<ans>,input_tok,question_tok,ans_tok
观众1: 前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。观众2: 我还能说什么呢，出影院第一件事就是拿iphone 上豆瓣， 至少5颗星啊！ 第156个评分的！ 哈哈哈哈！ 一直要用心用脑看的电影， 内容很严谨！逻辑性强！ 非常好看！ 等高人仔细分析。。 又去影院看了一遍， 很爽！ 很抖擞！观众3:概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……观众4:能让人叫好的谜语一定是比较好猜的那种。只有这样受众才会产生对自己智力的陶醉。就是一个基于真实和虚幻的循环结构设定加点动作片元素而已，没有其他任何东西了。一部没有什么意思的娱乐片。观众5:创意很棒，就知道这是个大套套小套的故事，和诺兰早期那个短片《Doodlebug》一样。抛开创意，其实本质很简单，就是《Doodlebug》的2010升级版，加入了《骗中骗》《穆赫兰道》《禁闭岛》等修改补丁。不过如果是“老婆回到真实世界，小李自始至终还在梦中？”的话我就喜欢这片子了''','''你是一个资深影评人，撰写过很多专业的影评文章，以专业和客观享誉业界。以下是由诺兰导演的电影《盗梦空间》的影迷评论，评论以三个单引号分割。请从观众的评论中全面总结观众的观点，简洁准确地得出结论。,观众1: 前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。,385,68,91
读者1:真的要到很久以后，才会明白，每一个选择只要努力过，都是正确的选择。读者2:被第二个故事感动的体无完肤。那种年轻时的倔强、无法实现的梦想、来自家人的默默支持、心中的悔过与愧疚、直至最后坦然接受命运……当他的梦想以另一种方式被实现时，那份不易，让人鼻子一酸。读者3:东野圭吾君肯定是村上春树上身了，不仅有披头士的酒吧，还阐述了所有的相逢都是久别重逢，即使无法在一起，在命运中还是有一条细细的红线。读者4:书里面附赠了一个书签， 也许编辑没意识到， 有些书是不需要书签的，一口气看完了。读者5:浪费了火车硬座上的深夜时光，这本书口碑很好，期望过高，读完觉得差劲。每次看到kindle上某一段有很多人标注的时候真不明白这本书里有哪些字句值得标注出来。读者6:时空交错和多线索叙事的高端治愈系鸡汤。最后一个故事减一星。预言者教人把握时机炒股和投资房地产的桥段实在是败笔。''','''你是一个资深的书评人，有着丰富的阅读经历和专业的评论技能。以下是东野圭吾的作品《解忧杂货店》的读者评论，三个单引号分割。请从读者的评论中全面总结读者的观点，简洁准确地得出结论。,这本书是一本治愈系的小说，故事情节很好，但是结尾有点仓促。,264,63,19
读者1:真的要到很久以后，才会明白，每一个选择只要努力过，都是正确的选择。读者2:被第二个故事感动的体无完肤。那种年轻时的倔强、无法实现的梦想、来自家人的默默支持、心中的悔过与愧疚、直至最后坦然接受命运……当他的梦想以另一种方式被实现时，那份不易，让人鼻子一酸。读者3:东野圭吾君肯定是村上春树上身了，不仅有披头士的酒吧，还阐述了所有的相逢都是久别重逢，即使无法在一起，在命运中还是有一条细细的红线。读者4:书里面附赠了一个书签， 也许编辑没意识到， 有些书是不需要书签的，一口气看完了。读者5:浪费了火车硬座上的深夜时光，这本书口碑很好，期望过高，读完觉得差劲。每次看到kindle上某一段有很多人标注的时候真不明白这本书里有哪些字句值得标注出来。读者6:时空交错和多线索叙事的高端治愈系鸡汤。最后一个故事减一星。预言者教人把握时机炒股和投资房地产的桥段实在是败笔。''','''你是一个资深的书评人，有着丰富的阅读经历和专业的评论技能。以下是东野圭吾的作品《解忧杂货店》的读者评论，三个单引号分割。请从读者的评论中全面总结读者的观点，简洁准确地得出结论。,这本书是一本治愈系的小说，故事情节很好，但是结尾有点仓促。,264,63,19
游客1: 三刷迪士尼，几个小tips：不太冷的冬天工作日去迪士尼是极好的，人不多，除了拍照的点基本不用排队。大热项目都在15分钟以下；这次买了199的乐拍通感觉挺值的，单反拍的效果比手机好，手机上随时可以看到照片并下载，有几个项目还有抓拍，199可以全家拍一天也不用自己背相机，划算！游客2:放低期待！很多项目并没有想象中过瘾(我们玩后都没有一个想二刷的项目)，可能是为了适应小孩子，项目都比较平平无奇，刺激的创极速光轮胆小者本人也还能接受。人真的巨多！每个项目都要排队，记得提前下上海迪士尼度假区app，根据上面的排队等候时间选择游玩项目(一般40min内都可排)。网上的游玩攻略只能参考！不是完全适用的，游客3:迪士尼游玩小 tips ：1、最刺激的项目:抱抱龙冲天赛车！(急速光轮排第二！！)2、值得二刷的项目:加勒比海盗！雷鸣山漂流！古道探索营绳索挑战！3、必须要抢FP的项目:飞跃地平线！(并不一定是最好玩，但一定是队伍最长的！)4、合家欢项目:巴斯光年星际营救、小熊维尼历险记、晶彩奇航、胡迪牛仔嘉年华、旋转疯蜜罐、弹簧狗团团转、小飞象、旋转木马游客4:没那么费钱。我上礼拜才去，带着5岁的娃，两天一夜一共花了2000出头吧，住的玩具酒店899，酒店买一日一大一小761。第一天小镇逛逛吃吃，第二天6点半把孩子薅起来，9点多刷完所有孩子能玩的项目回酒店补觉，然后下午就在园子里看表演看花车，没看烟花7点多撤了。''','''你是一个名气很大的旅游博主，经常去世界各地旅游，撰写旅游博文，对于景点和游玩设施有着丰富的游玩经历和客观的评价标准。我收集了上海迪士尼乐园的游客评论，由三个单引号分隔。请从中全面总结出大家对上海迪士尼乐园的观点，结论要简洁全面。,上海迪士尼乐园适合亲子游玩，项目比较多，但每个项目都要排队。,422,73,18
评论1:麻辣大份鸡架+酥油饼，鸡架拿到手还是热呼呼的，简直都太棒了！鸡架肉始终，有啃骨头的快感，又有肉的满足感，根本好吃！#店家力荐！锅巴土豆（超高回头率）#锅巴土豆外硬内软，口感一级棒！评论2:点过好几次了，还是辣一点好吃，鸡架和花菜搭配起来绝配。评论3:作为一个东北人，第一次在深圳订鸡架。鸡架和花菜没得说，非常好吃，包菜感觉火候不够，和花菜有点差距。评论4:经常在你店里买，味道不错很好吃，分量很足，价格便宜，及时送达，包装完整，服务态度好，下次再来。评论5:真的太超值了，而且味道也超级好，老板人也很好，备注都看了，一定会再来支持的，必须给赞，包括严实，打开之后香气扑鼻，成功吸引了家里的傻猫。''','''你是一个美食家，平时爱好厨艺，常撰写美食文章。这是网络上对一家饭店的评论，由三个单引号分隔。请从评论中总结出大家的观点，结论要全面、准确、简洁。,这家店的鸡架很好吃，值得推荐。,226,53,11
评论1:差评差评！送到时都冷了！咬都咬不动！评论2:太贵了，隔壁只需要一半的价格，这不想做回头客了！评论3:态度恶劣，爱买不爱的态度，以后不会再来了！评论4:这是我吃过最次的烧烤。鱼豆腐糊了，还是干瘪的。羊肉串凑活，有些咸，牛肉小串太腥了，不知道原因出在哪里了！评论5:无语''','''你是一个美食家，平时爱好厨艺，常撰写美食文章。这是网络上对一家饭店的评论，由三个单引号分隔。请从评论中总结出大家的观点，结论要全面、准确、简洁。,这家店的烧烤很一般，价格也贵。,106,53,11
评论1:不足之处：有弹力的，蹲或坐膝盖位置都会现一个大包，洗了能还原。其他的挺好。评论2:尺码与实体店不符，换尺码后，破洞，清洗过后褪色极其严重！！已经从黑色变成灰色了，这质量真的迷…麻烦品控严谨些吧！评论3:尺码推荐：165体重117斤.腰围73臀围94穿m很合适，裤腿很肥，有点显胖评论4:这裤子也撇，黑色的买回来，洗了一水，就反毛，那种小毛毛，也是感觉就穿了好久的一样，裤子将就还能穿下， 上身效果：差差差 面料品质：差差差评论5:上身效果比想象中好，而且纯棉的蛮舒服的，夏天穿可能稍微有点厚。评论6:总体不错，稍微偏大一点，我159，48.5公斤''','''你是一个服装行业的从业人员，有着丰富的服装采购经验，善于辨别服装质量的好坏。这是对某品牌运动裤的用户评论，评论由三个单引号分隔。请从中全面总结出大家的观点，结论要简洁全面。,设计亮点这款运动裤采用了棉氨混纺的面料，手感柔软舒适，穿着透气性好。裤子两侧有插袋，方便放置随身物品。,208,57,34
,,OOM,0,0,2
评论1:颜值尚可，重量太重！iphone 15plus绝对不是官网所写的201克，至少有210克以上，拿着觉得手很累！而过去的机型，例如iphone11，比官网的数据194克要轻。作为从iphone 3GS开始用的苹果手机十二年用户，感觉厂商真是越来越抠门了，充电器都不送，真太能省了。佩服！评论2:我都还没舍得斯开，就问要买哪种充电器，完全跟我的11不一样，害，耳机没有吧算了，必备的充电器都没有，这两样是手机必备的，不得不重新购买充电器，因为接口都变了，原来的充电器也用不了。说好点儿是为了环保，其实就是为了多挣一份钱，我买的又不是一次性的东西，没有充电器怎么充电？耳机充电器本来就是手机必备品评论3:续航能力也很好，拍照都也很清晰。就是玩游戏不行啊，打个王者还不如我的8p流畅，选个英雄都老是卡顿，反应不过来。多点一下又选到别的英雄去了，玩起来也总是感觉不顺畅，电池还发热。这是怎么回事呢？别的问题目前还没有发现。评论4:从小12绿色换成15plus蓝色，这个蓝色很好看，戴上壳子看起来就是白色（想要白色的可冲）。本人的需求就是续航强，使用了小一天，续航能力确实很强，早上十点多拿到手机，重度使用手机患者，到晚上十点还有37%评论5:续航很顶 个人认为唯一缺点就是没有快充 猛男粉很好看 对续航有要求的 plus就对了 本人不玩手游和摄影 15pro没必要 灵动岛也很好玩 总之 除了充电速度 没啥说的。''','''你是一个专业的手机测评人，测评和使用过市面上所有主流的机型，撰写的评论文章观点清晰，立场中立，深受好评。iphone 15系列发售后，销量火爆，以下是用户的评论，由三个单引号分隔。请从中全面总结出大家的观点，结论务必要简洁全面准确。,iphone 15plus续航能力很强，充电速度慢,385,73,10
评论1:外形外观完全没有划痕新卡运行畅通上线就能领金币评论2:除了八方旅人都有小册子，那个没有小册子，好像是正常现象。拆封之前塑封都很良好。里面的卡也没有任何刮痕。物有所值。评论3:确定是日版正品，没有拆封，物流快评论4:包装很好，金手指没有划痕，是新的，游戏很好玩，可以调成中文评论5:首先物流很快，表扬。但是，摇起来里面有松动声音，卡带划痕挺明显！跟我插拔了百来次的塞尔达差不多！哪怕出厂测试也不会这么明显。客服就说是全新正品…之前其他店买的全新卡带，划痕几乎没有的，很新。还比二手价格贵了好几十，买这种老游戏，还是去靠谱的店买二手的吧。新游戏可以买评论6:天猫国际挺牛的，物流慢就算了，卡带竟然不是全新的肉眼看有明显的划痕，合着花一手价格买二手是吧？垃圾再也不会再天猫国际买了''','''你是一个游戏体验师，每款热门游戏发行后，总会第一时间上手体验，撰写专业客观的评论，供玩家和厂商参考。《马里奥奥德赛》是一款老少咸宜的游戏，以下是用户的评论，由三个单引号分隔。请从中全面总结出大家的观点，结论务必要简洁全面准确。,马里奥奥德赛是一款老少咸宜的游戏,251,80,12
,,OOM,0,0,2
